epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1536.98,1.83712,2.5399,1.10453,0.42475,0.29055,0.28403,0.14182,1.61775,1.38131,1.01229,0.00124715,0.000415715,0.00124715,0.000415715,0.00124715,0.000415715,0.00124715,0.000415715
2,3032,1.65271,1.39357,1.03517,0.48096,0.34941,0.35248,0.17239,1.55748,1.18739,0.99116,0.00224993,0.000749976,0.00224993,0.000749976,0.00224993,0.000749976,0.00224993,0.000749976
3,4512.92,1.61094,1.2524,1.01866,0.53205,0.36854,0.38298,0.18677,1.53989,1.11055,0.98368,0.00300521,0.00100174,0.00300521,0.00100174,0.00300521,0.00100174,0.00300521,0.00100174
4,6009.15,1.59017,1.16636,1.0106,0.55111,0.38089,0.40091,0.19586,1.5131,1.04368,0.98211,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
5,7504.32,1.56325,1.0948,1.00447,0.56859,0.39306,0.41832,0.20255,1.50352,1.00824,0.97672,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
6,8981.9,1.54469,1.05493,0.9971,0.55927,0.40442,0.42438,0.20799,1.48315,0.97604,0.97465,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
7,10473.7,1.5286,1.01812,0.99133,0.58009,0.41182,0.44057,0.21442,1.47006,0.95938,0.96865,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
8,11933.5,1.5149,0.9914,0.98668,0.56927,0.42074,0.44371,0.21713,1.46547,0.9445,0.96578,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
9,13394.4,1.50694,0.97854,0.98385,0.57888,0.42406,0.44897,0.22049,1.45158,0.92739,0.96493,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
10,14843.9,1.49402,0.95906,0.9788,0.58178,0.42784,0.4524,0.22187,1.4463,0.91773,0.96308,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
